epoch,quantization_error,neighborhood_radius
0,4.333469472798282,3.0
1,1.237376749438129,3.0
2,1.106190485058279,2.98
3,1.105440406251918,2.96
4,1.0747253015163316,2.94
5,1.0790937923571058,2.92
6,1.0684799463895793,2.9
7,1.0685325422760406,2.88
8,1.0666372395499628,2.86
9,1.0678956233313581,2.84
10,1.0670596365996152,2.8200000000000003
11,1.063823178795265,2.8
12,1.063814735157634,2.7800000000000002
13,1.0646587532506775,2.76
14,1.0637255686608023,2.74
15,1.0636352735448003,2.7199999999999998
16,1.0627202395370585,2.7
17,1.0630256003455878,2.6799999999999997
18,1.0628942247062911,2.66
19,1.061058045949035,2.64
20,1.0613866154955016,2.62
21,1.060029382878031,2.6
22,1.0606549366188052,2.58
23,1.0599618860515805,2.56
24,1.0605003314984276,2.54
25,1.060087237191034,2.52
26,1.0597758063350866,2.5
27,1.0588723527592172,2.48
28,1.0588634768509093,2.46
29,1.0586870042692862,2.44
30,1.059408955326787,2.42
31,1.059248641754578,2.4
32,1.0600717663201977,2.38
33,1.0605982583168774,2.36
34,1.0620618602369145,2.34
35,1.0615071512266872,2.32
36,1.0638034645156682,2.3
37,1.0644696492004155,2.2800000000000002
38,1.0605167661724093,2.26
39,1.061051848044402,2.24
40,1.0600775202565293,2.2199999999999998
41,1.0604667750261307,2.2
42,1.0605809875106271,2.18
43,1.0598180842759455,2.16
44,1.0626320125875697,2.14
45,1.0598976739009192,2.12
46,1.059697002613863,2.1
47,1.0608200739294307,2.08
48,1.0633731310511945,2.06
49,1.064268977659286,2.04
50,1.063536088176642,2.02
51,1.0634602163692117,2.0
52,0.9841285102102291,1.98
53,0.983784047233383,1.96
54,0.9674910365537087,1.94
55,0.9697381402123417,1.92
56,0.9656988933585435,1.9
57,0.9653442177852917,1.88
58,0.9638269220518694,1.86
59,0.963514360130928,1.84
60,0.9622799733348623,1.82
61,0.9615462764668683,1.8
62,0.9611692288773125,1.78
63,0.9599637241257439,1.76
64,0.959425804426267,1.74
65,0.9591961284852301,1.72
66,0.9593307508855898,1.7
67,0.9596332096975354,1.68
68,0.9602691593936998,1.66
69,0.9594725851170134,1.64
70,0.9594747191503268,1.62
71,0.9592210559291534,1.6
72,0.9588251583924833,1.58
73,0.9585287680186815,1.56
74,0.9578626303130554,1.54
75,0.9572484382922548,1.52
76,0.9566350468942906,1.5
77,0.9563738796909707,1.48
78,0.9568493032704758,1.46
79,0.9565908526554142,1.44
80,0.9560903700750819,1.42
81,0.9561554422358185,1.4
82,0.9562587110186835,1.38
83,0.9560736601583045,1.36
84,0.9560824126736618,1.34
85,0.955814195949242,1.32
86,0.9557134263085334,1.3
87,0.9557976440566072,1.28
88,0.9555990104574695,1.26
89,0.9556047423145761,1.24
90,0.9559120123255256,1.22
91,0.9557076023446135,1.2
92,0.955626949596677,1.18
93,0.9556306150738229,1.16
94,0.955467318587072,1.14
95,0.9554057147628972,1.12
96,0.9552426386863337,1.1
97,0.9554266516943238,1.08
98,0.9550774183126738,1.06
99,0.9551367966876856,1.04
100,0.9550744931564581,1.02
